DATE,USER_ID,AD_SPEND
6/3/23,857,13.79
6/3/23,1681,3.17
6/3/23,885,7.56
6/3/23,886,5.72
6/3/23,1689,5.43
6/3/23,1692,3.74
6/3/23,890,4.16
6/3/23,1742,4.12
6/3/23,918,4.57
6/3/23,919,5.99
6/3/23,923,5.62
6/3/23,1756,4.01
6/3/23,944,3.74
6/3/23,949,12.07
6/3/23,1830,5.24
6/3/23,968,5.72
6/3/23,1879,6.36
6/3/23,1881,3.92
6/3/23,999,3.73
6/3/23,1026,2.63
6/3/23,1028,3.18
6/3/23,1937,6.21
6/3/23,1983,5.24
6/3/23,1054,5.24
6/3/23,1055,14.09
6/3/23,1987,5.16
6/3/23,1057,2.63
6/3/23,2051,5.72
6/3/23,2113,2.63
6/3/23,1154,6.21
6/3/23,1155,4.34
6/3/23,2176,5.62
6/3/23,2180,5.69
6/3/23,2139,4.01
6/3/23,1195,2.63
6/3/23,2249,4.49
6/3/23,1196,5.17
6/3/23,1235,5.24
6/3/23,1237,5.24
6/3/23,523,46.85
6/3/23,1265,5.81
6/3/23,2374,2.63
6/3/23,999,10.32
6/3/23,1290,7.34
6/3/23,2422,6.07
6/3/23,1295,5.72
6/3/23,1325,9.36
6/3/23,1327,4.61
6/3/23,1331,6.21
6/3/23,2544,5.24
6/3/23,1359,4.12
6/3/23,1545,5.16
6/3/23,2552,2.63
6/3/23,1365,7.34
6/3/23,2604,4.49
6/3/23,2606,6.07
6/3/23,1422,5.72
6/3/23,2653,4.57
6/3/23,1427,2.63
6/3/23,2658,4.42
6/3/23,1428,9.36
6/3/23,1435,4.49
6/3/23,2703,4.49
6/3/23,2705,10.32
6/3/23,2709,4.49
6/3/23,2711,4.68
6/3/23,1489,5.24
6/3/23,2771,5.17
6/3/23,1497,6.21
6/3/23,2818,4.34
6/3/23,2821,5.16
6/3/23,1522,6.52
6/3/23,1523,3.74
6/3/23,1555,2.63
6/3/23,1590,5.99
6/3/23,1593,3.17
6/3/23,1624,14.09
6/3/23,2628,5.24
6/3/23,1627,3.93
6/3/23,3009,14.73
6/3/23,3068,3.37
6/3/23,1666,12.21
6/3/23,3121,4.12
6/3/23,3125,5.24
6/3/23,1731,3.56
6/3/23,3185,9.36
6/3/23,1760,5.72
6/3/23,3234,5.24
6/3/23,1762,4.12
6/3/23,1766,9.81
6/3/23,3244,3.92
6/3/23,3293,4.49
6/3/23,1796,5.22
6/3/23,3345,3.46
6/3/23,1830,5.24
